ETHUSDT: bestBid 1595.40, bestBitQuantity 14.548, bestAsk 1595.41, bestAskQuantity 81.060, eventTime 1673981445712, localTimestamp 1673981446094, totalLatency 382
ETHUSDT: bestBid 1595.40, bestBitQuantity 14.548, bestAsk 1595.41, bestAskQuantity 77.385, eventTime 1673981445721, localTimestamp 1673981446094, totalLatency 373
ETHUSDT: bestBid 1595.40, bestBitQuantity 16.955, bestAsk 1595.41, bestAskQuantity 77.385, eventTime 1673981445721, localTimestamp 1673981446094, totalLatency 373
ETHUSDT: bestBid 1595.40, bestBitQuantity 16.955, bestAsk 1595.41, bestAskQuantity 63.567, eventTime 1673981445721, localTimestamp 1673981446094, totalLatency 373
ETHUSDT: bestBid 1595.40, bestBitQuantity 16.955, bestAsk 1595.41, bestAskQuantity 63.517, eventTime 1673981445721, localTimestamp 1673981446095, totalLatency 374
BTCUSDT: bestBid 21354.60, bestBitQuantity 0.023, bestAsk 21354.70, bestAskQuantity 21.614, eventTime 1673981445722, localTimestamp 1673981446095, totalLatency 373
ETHUSDT: bestBid 1595.40, bestBitQuantity 19.450, bestAsk 1595.41, bestAskQuantity 63.517, eventTime 1673981445723, localTimestamp 1673981446095, totalLatency 372
ETHUSDT: bestBid 1595.40, bestBitQuantity 19.450, bestAsk 1595.41, bestAskQuantity 63.467, eventTime 1673981445723, localTimestamp 1673981446096, totalLatency 373
ETHUSDT: bestBid 1595.40, bestBitQuantity 19.450, bestAsk 1595.41, bestAskQuantity 63.463, eventTime 1673981445732, localTimestamp 1673981446097, totalLatency 365
ETHUSDT: bestBid 1595.40, bestBitQuantity 19.404, bestAsk 1595.41, bestAskQuantity 63.463, eventTime 1673981445762, localTimestamp 1673981446097, totalLatency 335
ETHUSDT: bestBid 1595.40, bestBitQuantity 19.404, bestAsk 1595.41, bestAskQuantity 63.438, eventTime 1673981445770, localTimestamp 1673981446097, totalLatency 327
ETHUSDT: bestBid 1595.40, bestBitQuantity 19.404, bestAsk 1595.41, bestAskQuantity 61.967, eventTime 1673981445770, localTimestamp 1673981446098, totalLatency 328
ETHUSDT: bestBid 1595.40, bestBitQuantity 19.404, bestAsk 1595.41, bestAskQuantity 60.795, eventTime 1673981445770, localTimestamp 1673981446098, totalLatency 328
ETHUSDT: bestBid 1595.41, bestBitQuantity 10.178, bestAsk 1595.42, bestAskQuantity 5.908, eventTime 1673981445786, localTimestamp 1673981446098, totalLatency 312
ETHUSDT: bestBid 1595.41, bestBitQuantity 11.414, bestAsk 1595.42, bestAskQuantity 5.908, eventTime 1673981445791, localTimestamp 1673981446098, totalLatency 307
ETHUSDT: bestBid 1595.41, bestBitQuantity 22.797, bestAsk 1595.42, bestAskQuantity 5.908, eventTime 1673981445794, localTimestamp 1673981446099, totalLatency 305
ETHUSDT: bestBid 1595.41, bestBitQuantity 33.639, bestAsk 1595.42, bestAskQuantity 5.908, eventTime 1673981445794, localTimestamp 1673981446099, totalLatency 305
ETHUSDT: bestBid 1595.41, bestBitQuantity 33.639, bestAsk 1595.43, bestAskQuantity 2.881, eventTime 1673981445794, localTimestamp 1673981446099, totalLatency 305
ETHUSDT: bestBid 1595.41, bestBitQuantity 33.639, bestAsk 1595.49, bestAskQuantity 5.013, eventTime 1673981445794, localTimestamp 1673981446100, totalLatency 306
ETHUSDT: bestBid 1595.41, bestBitQuantity 34.852, bestAsk 1595.49, bestAskQuantity 5.013, eventTime 1673981445794, localTimestamp 1673981446100, totalLatency 306
ETHUSDT: bestBid 1595.41, bestBitQuantity 29.842, bestAsk 1595.49, bestAskQuantity 5.013, eventTime 1673981445794, localTimestamp 1673981446100, totalLatency 306
ETHUSDT: bestBid 1595.41, bestBitQuantity 31.064, bestAsk 1595.49, bestAskQuantity 5.013, eventTime 1673981445794, localTimestamp 1673981446101, totalLatency 307
ETHUSDT: bestBid 1595.42, bestBitQuantity 2.000, bestAsk 1595.49, bestAskQuantity 5.013, eventTime 1673981445794, localTimestamp 1673981446101, totalLatency 307
ETHUSDT: bestBid 1595.42, bestBitQuantity 4.500, bestAsk 1595.49, bestAskQuantity 5.013, eventTime 1673981445794, localTimestamp 1673981446102, totalLatency 308
ETHUSDT: bestBid 1595.48, bestBitQuantity 2.500, bestAsk 1595.49, bestAskQuantity 5.013, eventTime 1673981445794, localTimestamp 1673981446103, totalLatency 309
ETHUSDT: bestBid 1595.48, bestBitQuantity 17.075, bestAsk 1595.49, bestAskQuantity 5.013, eventTime 1673981445795, localTimestamp 1673981446103, totalLatency 308
ETHUSDT: bestBid 1595.48, bestBitQuantity 17.804, bestAsk 1595.49, bestAskQuantity 5.013, eventTime 1673981445798, localTimestamp 1673981446103, totalLatency 305
ETHUSDT: bestBid 1595.48, bestBitQuantity 17.804, bestAsk 1595.53, bestAskQuantity 1.010, eventTime 1673981445798, localTimestamp 1673981446103, totalLatency 305
ETHUSDT: bestBid 1595.50, bestBitQuantity 2.500, bestAsk 1595.53, bestAskQuantity 1.010, eventTime 1673981445801, localTimestamp 1673981446104, totalLatency 303
ETHUSDT: bestBid 1595.52, bestBitQuantity 2.500, bestAsk 1595.53, bestAskQuantity 1.010, eventTime 1673981445802, localTimestamp 1673981446104, totalLatency 302
ETHUSDT: bestBid 1595.52, bestBitQuantity 17.075, bestAsk 1595.53, bestAskQuantity 1.010, eventTime 1673981445802, localTimestamp 1673981446104, totalLatency 302
